person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21,female,Master,71948,0,RENT,35000,PERSONAL,16.02,0.49,3,561,No,1
21,female,High School,12282,0,OWN,1000,EDUCATION,11.14,0.49,2,504,Yes,0
25,female,High School,12438,3,MORTGAGE,5500,MEDICAL,12.87,0.49,3,635,No,1
23,female,Bachelor,79753,0,RENT,35000,MEDICAL,15.23,0.44,2,675,No,1
24,male,Master,66135,1,RENTT,35000,MEDICAL,14.27,0.53,4,586,No,1
,female,High School,12951,0,OWN,2500,VENTURE,7.14,0.19,2,532,No,1
22,female,Bachelor,,1,RENT,35000,EDUCATION,12.42,0.37,3,701,No,1
24,,High School,95550,5,RENT,35000,MEDICAL,11.11,0.37,4,585,No,1
22,female,,100684,3,RENT,35000,PERSONAL,8.9,0.35,2,544,No,
21,female,High School,12739,0,OWN,1600,VENTURE,14.74,0.13,3,640,No,1
22,female,High School,102985,0,RENT,35000,VENTURE,10.37,0.34,4,621,No,1
21,female,Associate,13113,0,OWN,4500,HOMEIMPROVEMENT,8.63,0.34,2,651,No,1
23,male,Bachelor,114860,3,RENT,35000,VENTURE,7.9,0.3,2,573,No,1
,malee,Master,130713,0,RENT,35000,EDUCATION,18.39,0.27,4,708,No,1
23,female,Associate,3138998,0,RENT,35000,EDUCATION,7.9,0.25,4,583,No,
23,female,,,5,MORTGAGE,30000,DEBTCONSOLIDATION,10.65,0.05,3,670,Yes,0
23,,Bachelor,144943,0,RENT,35000,EDUCATION,7.9,0.24,4,663,No,0
23,female,High School,111369,0,RENT,35000,MEDICAL,20,0.31,4,694,No,
23,male,Bachelor,136628,0,RENT,35000,DEBTCONSOLIDATION,18.25,0.26,4,709,No,1
24,female,Master,14283,1,MORTGAGE,1750,EDUCATION,10.99,0.12,2,679,No,1
25,male,Bachelor,195718,0,RENT,35000,VENTURE,7.49,0.18,4,684,Yes,0
25,male,High School,165792,4,RENT,34800,PERSONAL,16.77,0.21,2,662,No,0
22,feemale,Master,79255,0,RENT,34000,EDUCATION,17.58,0.43,4,691,No,1
24,female,Bachelor,13866,0,OWN,1500,PERSONAL,7.29,0.11,3,600,Yes,0
22,male,Bachelor,97420,1,RENT,33950,PERSONAL,14.54,0.35,4,691,No,1
24,feemale,High School,82443,0,RENT,33000,HOMEIMPROVEMENT,12.68,0.4,3,654,No,1
21,female,Associate,14288,0,MORTGAGE,4575,VENTURE,17.74,0.32,3,626,No,1
,male,High School,14293,0,OOWN,1400,PERSONAL,9.32,0.1,3,607,No,0
22,female,Bachelor,79054,1,RENT,32500,HOMEIMPROVEMENT,9.99,0.41,3,700,No,1
22,female,Bachelor,79054,1,RENT,32500,HOMEIMPROVEMENT,9.99,0.41,3,700,No,1
21,female,Bachelor,14988,0,OTHER,4000,EDUCATION,12.84,0.27,2,553,No,1
21,male,High School,,0,OWN,2000,MEDICAL,11.12,0.13,3,589,No,1
230,male,Bachelor,144855,1,RENT,32000,VENTURE,6.62,0.22,2,586,Yes,0
26,male,Bachelor,114645,2,RENT,31050,HOMEIMPROVEMENT,14.17,0.27,3,681,No,1
,female,High School,368115,3,RENT,24250,DEBTCONSOLIDATION,13.85,0.07,3,567,Yes,0
26,female,Associate,361076,1,RENT,7800,MEDICAL,13.49,0.02,4,669,No,0
21,male,Associate,15150,0,RENT,2500,EDUCATION,7.51,0.17,4,600,No,1
22,female,Bachelor,58868,0,RENT,30000,EDUCATION,18.39,0.51,2,606,No,1
24,male,High School,78026,3,RENT,30000,DEBTCONSOLIDATION,14.54,0.38,3,582,No,1
25,male,Bachelor,,4,RENT,30000,HOMEIMPROVEMENT,16.89,0.33,4,649,No,1
23,female,High School,86811,0,RENT,30000,DEBTCONSOLIDATION,11.01,0.35,4,602,No,1
26,male,Bachelor,75503,5,RENT,30000,MEDICAL,17.99,0.4,2,616,No,1
24,female,High School,15082,0,RENT,2500,VENTURE,12.69,0.17,3,631,No,1
26,male,Bachelor,361293,5,RENT,20000,VENTURE,7.88,0.06,4,684,Yes,0
22,male,High School,361547,0,RENT,24250,EDUCATION,19.41,0.07,2,637,Yes,0
26,male,Master,360680,5,RENT,10000,HOMEIMPROVEMENT,10.38,0.03,4,649,No,0
26,male,Bachelor,360977,5,RENT,25000,EDUCATION,15.33,0.07,3,695,Yes,0
25,female,Bachelor,361244,2,RENT,18000,HOMEIMPROVEMENT,16.45,0.05,3,620,No,0
26,male,Bachelor,98230,2,RENT,30000,PERSONAL,7.49,0.31,3,622,No,1
22,female,High School,80838,0,RENT,30000,MEDICAL,12.69,0.37,3,645,No,1
26,male,Master,107957,2,RENT,30000,DEBTCONSOLIDATION,6.62,0.28,3,654,No,1
24,female,Bachelor,94649,2,RENT,30000,DEBTCONSOLIDATION,11.01,0.32,4,624,No,1
23,male,High School,94550,1,RENT,30000,DEBTCONSOLIDATION,18.62,0.32,3,570,No,1
23,male,Bachelor,111153,3,RENT,30000,PERSONAL,15.23,0.27,3,648,No,1
23,female,Associate,117250,0,RENT,30000,VENTURE,10.65,0.26,2,652,No,1
25,male,Bachelor,144985,3,RENT,30000,EDUCATION,7.9,0.21,4,559,No,0
26,male,High School,337133,7,RENT,10000,PERSONAL,15.96,0.03,3,623,Yes,0
